run_id,exp_id,system_name,budget,target_call_rate,actual_call_rate,call_rate_valid,num_samples,CER,BoundaryDeletionRecallAtB,SubstitutionCER,CVR,AER,p95_latency_ms,avg_token_usage,agentB_model,prompt_version,soft_prompt_version,backfill_version,breaker_version,notes,hallucination_rate,format_collapse_rate,over_correction_rate,false_rejection_rate,backfill_reject_rate,breaker_trigger_rate
20260416_run111700,M5,BestRouter-only,0.1,0.1,0.0984,True,3424,0.099561,0.151899,0.055109,0.0,0.0,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,none,none,none,reuse_m5_cache,0.0,0.010806,0.0,0.0,0.0,0.0
20260416_run111700,M5,BestRouter-only,0.2,0.2,0.1971,True,3424,0.099561,0.257384,0.055109,0.0,0.0,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,none,none,none,reuse_m5_cache,0.0,0.011098,0.0,0.0,0.0,0.0
20260416_run111700,M5,BestRouter-only,0.3,0.3,0.2798,False,3424,0.099561,0.316456,0.055109,0.0,0.0,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,none,none,none,reuse_m5_cache,0.0,0.011974,0.0,0.0,0.0,0.0
20260416_run111700,M6,SH-DA++,0.1,0.1,0.0984,True,3424,0.099561,0.151899,0.055109,0.0,0.0,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,dsp_v1.0,backfill_v1_strict,breaker_v1,reuse_m6_cache,0.0,0.010806,0.0,0.0,0.0,0.0
20260416_run111700,M6,SH-DA++,0.2,0.2,0.1971,True,3424,0.099561,0.257384,0.055109,0.0,0.0,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,dsp_v1.0,backfill_v1_strict,breaker_v1,reuse_m6_cache,0.0,0.011098,0.0,0.0,0.0,0.0
20260416_run111700,M6,SH-DA++,0.3,0.3,0.2798,False,3424,0.099561,0.316456,0.055109,0.0,0.0,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,dsp_v1.0,backfill_v1_strict,breaker_v1,reuse_m6_cache,0.0,0.011974,0.0,0.0,0.0,0.0
