Strategy,Target_Budget,Actual_Call_Rate,Overall_CER,Boundary_Deletion_Recall@B,Substitution_CER,P95_Latency_MS,Avg_Token_Usage,Total_Token_Usage,N_Latency_Valid,N_Token_Valid,AER,CVR,N_valid
AgentA_Only,0.0,0.0,0.099561,0.0,0.055109,0.0,0.0,0.0,0,0,0.0,0.0,3424
GCR,0.1,0.0999,0.096915,0.233474,0.053333,180807.605,0.0,0.0,342,0,0.4006,0.4883,3424
BAUR,0.1,0.0999,0.100919,0.054852,0.05638,180824.685,0.0,0.0,342,0,0.2661,0.0819,3424
DAR,0.1,0.0999,0.098412,0.140647,0.054395,180827.103,0.0,0.0,342,0,0.3977,0.1111,3424
GCR,0.2,0.2001,0.094233,0.37834,0.051522,180752.96,0.0,0.0,685,0,0.4467,0.4204,3424
BAUR,0.2,0.2001,0.101529,0.123769,0.056972,180794.661,0.0,0.0,685,0,0.3212,0.073,3424
DAR,0.2,0.2001,0.096723,0.248945,0.05295,180768.956,0.0,0.0,685,0,0.473,0.1606,3424
GCR,0.3,0.2999,0.09782,0.4782,0.053855,61069.927,0.0,0.0,1027,0,0.112,0.0769,3424
BAUR,0.3,0.2999,0.100188,0.219409,0.055614,67174.479,0.0,0.0,1027,0,0.0409,0.0156,3424
DAR,0.3,0.2999,0.099039,0.337553,0.054673,61022.189,0.0,0.0,1027,0,0.0565,0.0224,3424
