Strategy,Target_Budget,Actual_Call_Rate,Overall_CER,Boundary_Deletion_Recall@B,Substitution_CER,P95_Latency_MS,Avg_Token_Usage,Total_Token_Usage,N_Latency_Valid,N_Token_Valid,AER,CVR,N_valid
AgentA_Only,0.0,0.0,0.139353,0.0,0.071349,0.0,0.0,0.0,0,0,0.0,0.0,100
GCR,0.1,0.1,0.138239,0.166667,0.069119,107912.331,0.0,0.0,10,0,0.5,0.3,100
BAUR,0.1,0.1,0.140468,0.066667,0.072464,181165.359,0.0,0.0,10,0,0.1,0.0,100
DAR,0.1,0.1,0.139353,0.066667,0.071349,181214.707,0.0,0.0,10,0,0.0,0.0,100
GCR,0.2,0.2,0.137124,0.233333,0.065775,181032.767,0.0,0.0,20,0,0.55,0.25,100
BAUR,0.2,0.2,0.141583,0.2,0.073579,181783.896,0.0,0.0,20,0,0.1,0.05,100
DAR,0.2,0.2,0.139353,0.233333,0.071349,181524.885,0.0,0.0,20,0,0.0,0.1,100
GCR,0.3,0.3,0.123746,0.333333,0.056856,181004.744,0.0,0.0,30,0,0.5333,0.2,100
BAUR,0.3,0.3,0.143813,0.2,0.072464,181180.453,0.0,0.0,30,0,0.1333,0.0333,100
DAR,0.3,0.3,0.140468,0.3,0.071349,180955.538,0.0,0.0,30,0,0.2333,0.1,100
