router_name,domain,budget,n_samples,final_accuracy
AgentA_Only,geology,0.0,100,0.0
BAUR,geology,0.1,100,0.39
BAUR,geology,0.2,100,0.38
BAUR,geology,0.3,100,0.39
DAR,geology,0.1,100,0.4
DAR,geology,0.2,100,0.4
DAR,geology,0.3,100,0.4
GCR,geology,0.1,100,0.4
GCR,geology,0.2,100,0.4
GCR,geology,0.3,100,0.43
