run_id,exp_id,system_name,budget,target_call_rate,actual_call_rate,call_rate_valid,num_samples,CER,BoundaryDeletionRecallAtB,SubstitutionCER,CVR,AER,p95_latency_ms,avg_token_usage,agentB_model,prompt_version,soft_prompt_version,backfill_version,breaker_version,notes,hallucination_rate,format_collapse_rate,over_correction_rate,false_rejection_rate,backfill_reject_rate,breaker_trigger_rate
20260416_run150709,M5,BestRouter-only,0.1,0.1,0.0984,True,3424,0.090873,0.151899,0.051313,0.0,0.816,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,none,none,none,reuse_m5_cache,0.001752,0.006717,0.00993,0.0,0.0,0.0
20260416_run150709,M5,BestRouter-only,0.2,0.2,0.1971,True,3424,0.090385,0.257384,0.051104,0.0,0.683,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,none,none,none,reuse_m5_cache,0.004089,0.00847,0.026577,0.0,0.0,0.0
20260416_run150709,M5,BestRouter-only,0.3,0.3,0.2798,False,3424,0.087373,0.316456,0.049049,0.0,0.6879,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,none,none,none,reuse_m5_cache,0.006717,0.00847,0.037675,0.0,0.0,0.0
20260416_run150709,M6,SH-DA++,0.1,0.1,0.0984,True,3424,0.096514,0.151899,0.053246,0.3234,0.4985,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,dsp_v1.0,backfill_v1_strict,breaker_v1,reuse_m6_cache,0.0,0.009054,0.007301,0.031834,0.031834,0.0
20260416_run150709,M6,SH-DA++,0.2,0.2,0.1971,True,3424,0.09526,0.257384,0.052445,0.197,0.4993,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,dsp_v1.0,backfill_v1_strict,breaker_v1,reuse_m6_cache,0.0,0.010222,0.0184,0.038843,0.038843,0.0
20260416_run150709,M6,SH-DA++,0.3,0.3,0.2798,False,3424,0.093154,0.316456,0.051365,0.2046,0.4979,0.0,0.0,gemini:gemini-3-flash-preview,prompt_v1.1,dsp_v1.0,backfill_v1_strict,breaker_v1,reuse_m6_cache,0.0,0.010806,0.024241,0.057243,0.057243,0.0
